id,permalink,userUrl,author_name,fullname,avatar,verified,text,html,isRetweet,retweetedBy,replyingTo,relativeTime,displayTime,createdAt,images,links,comments,retweets,likes,Views,bank_ext,text_1,postUrl,replyText,text_v1,post,posttype,Sentiment
2037318670750281886,https://x.com/babanasseralgh/status/2037318670750281886,https://x.com/babanasseralgh,babanasseralgh,لفقيدي والدي,https://pbs.twimg.com/profile_images/1645878730496114688/ejU13FCo_bigger.jpg,,"@EmiratesNBD_AE السلام عليكم 
وصلاتني رساله من شخص يقول اني فزت معاه وارسلي ايصال الحواله وقال تستغرق ٧ ايام هل صحيح ممكن اعطيكم ايصال الحواله","<a href=""/EmiratesNBD_AE"" title=""Emirates NBD"">@EmiratesNBD_AE</a> السلام عليكم 
وصلاتني رساله من شخص يقول اني فزت معاه وارسلي ايصال الحواله وقال تستغرق ٧ ايام هل صحيح ممكن اعطيكم ايصال الحواله",False,,,4h,"Mar 26, 2026 · 11:59 PM UTC",2026-03-26T23:59:00Z,,['https://x.com/EmiratesNBD_AE'],0,0,0,1,ENBD,"@EmiratesNBD_AE السلام عليكم 
وصلاتني رساله من شخص يقول اني فزت معاه وارسلي ايصال الحواله وقال تستغرق ٧ ايام هل صحيح ممكن اعطيكم ايصال الحواله",https://x.com/babanasseralgh/status/2037318670750281886,"@EmiratesNBD_AE السلام عليكم 
وصلاتني رساله من شخص يقول اني فزت معاه وارسلي ايصال الحواله وقال تستغرق ٧ ايام هل صحيح ممكن اعطيكم ايصال الحواله","@EmiratesNBD_AE السلام عليكم 
وصلاتني رساله من شخص يقول اني فزت معاه وارسلي ايصال الحواله وقال تستغرق ٧ ايام هل صحيح ممكن اعطيكم ايصال الحواله","Hello Emirates NBD, I received a message from someone saying that I won with them and sent me a transfer receipt, saying it takes 7 days. Is this true? Can I give you the transfer receipt?",Cust,Neutral
2037210917356921244,https://x.com/SelmaRomola/status/2037210917356921244,https://x.com/SelmaRomola,SelmaRomola,Selma Romola,https://pbs.twimg.com/profile_images/1118152018995105792/5fyZOTth_bigger.jpg,,"It’s all about not putting all your eggs in one basket.
Guess this investment type and comment your answer below.
#ENBDRiddleOfTheWeek #FinancialWellbeing #InvestSmart #MoneyBasics

الأمر كله يتعلق بعدم وضع كل البيض في سلة واحدة.
هل يمكنك تخمين نوع الاستثمار؟ اكتب إجابتك في التعليقات أدناه.
#لغز_الأسبوع_ENBD #العافية_المالية #استثمر_بذكاء #أساسيات_المال","Mutual fund/ Investment Fund
<a href=""/search?f=tweets&amp;q=%23ENBDRiddleOfTheWeek"">#ENBDRiddleOfTheWeek</a> 
<a href=""/search?f=tweets&amp;q=%23financialwellbeing"">#financialwellbeing</a>",False,,['EmiratesNBD_AE'],11h,"Mar 26, 2026 · 4:51 PM UTC",2026-03-26T16:51:00Z,,"['https://x.com/search?f=tweets&q=%23ENBDRiddleOfTheWeek', 'https://x.com/search?f=tweets&q=%23financialwellbeing']",0,0,0,6,ENBD,"Mutual fund/ Investment Fund
#ENBDRiddleOfTheWeek 
#financialwellbeing",https://x.com/SelmaRomola/status/2037210917356921244,"It’s all about not putting all your eggs in one basket.
Guess this investment type and comment your answer below.
#ENBDRiddleOfTheWeek #FinancialWellbeing #InvestSmart #MoneyBasics

الأمر كله يتعلق بعدم وضع كل البيض في سلة واحدة.
هل يمكنك تخمين نوع الاستثمار؟ اكتب إجابتك في التعليقات أدناه.
#لغز_الأسبوع_ENBD #العافية_المالية #استثمر_بذكاء #أساسيات_المال","It’s all about not putting all your eggs in one basket.
Guess this investment type and comment your answer below.
#ENBDRiddleOfTheWeek #FinancialWellbeing #InvestSmart #MoneyBasics

الأمر كله يتعلق بعدم وضع كل البيض في سلة واحدة.
هل يمكنك تخمين نوع الاستثمار؟ اكتب إجابتك في التعليقات أدناه.
#لغز_الأسبوع_ENBD #العافية_المالية #استثمر_بذكاء #أساسيات_المال",It's all about not putting all your eggs in one basket. Can you guess the type of investment? Write your answer in the comments below.,Cust,Neutral
2037210762847138137,https://x.com/SelmaRomola/status/2037210762847138137,https://x.com/SelmaRomola,SelmaRomola,Selma Romola,https://pbs.twimg.com/profile_images/1118152018995105792/5fyZOTth_bigger.jpg,,"الأمر كله يتعلق بعدم وضع كل البيض في سلة واحدة.
هل يمكنك تخمين نوع الاستثمار؟ اكتب إجابتك في التعليقات أدناه.
#لغز_الأسبوع_ENBD #العافية_المالية #استثمر_بذكاء #أساسيات_المال https://t.co/vTM1HJze72","Mutual fund 
<a href=""/search?f=tweets&amp;q=%23ENBDRiddleOfTheWeek"">#ENBDRiddleOfTheWeek</a> 
<a href=""/search?f=tweets&amp;q=%23financialwellbeing"">#financialwellbeing</a>",False,,['EmiratesNBD_AE'],11h,"Mar 26, 2026 · 4:51 PM UTC",2026-03-26T16:51:00Z,,"['https://x.com/search?f=tweets&q=%23ENBDRiddleOfTheWeek', 'https://x.com/search?f=tweets&q=%23financialwellbeing']",0,0,0,9,ENBD,"Mutual fund 
#ENBDRiddleOfTheWeek 
#financialwellbeing",https://x.com/SelmaRomola/status/2037210762847138137,"الأمر كله يتعلق بعدم وضع كل البيض في سلة واحدة.
هل يمكنك تخمين نوع الاستثمار؟ اكتب إجابتك في التعليقات أدناه.
#لغز_الأسبوع_ENBD #العافية_المالية #استثمر_بذكاء #أساسيات_المال https://t.co/vTM1HJze72","الأمر كله يتعلق بعدم وضع كل البيض في سلة واحدة.
هل يمكنك تخمين نوع الاستثمار؟ اكتب إجابتك في التعليقات أدناه.
#لغز_الأسبوع_ENBD #العافية_المالية #استثمر_بذكاء #أساسيات_المال https://t.co/vTM1HJze72",It's all about not putting all your eggs in one basket. Can you guess the type of investment? Write your answer in the comments below.,Cust,Neutral
2037188660789973451,https://x.com/khushbuag88/status/2037188660789973451,https://x.com/khushbuag88,khushbuag88,Khushbu Agarwal,https://pbs.twimg.com/profile_images/1950530694746447872/VGZLi5fA_bigger.jpg,,"@EmiratesNBD_AE Mutual fund #ENBDRiddleOfTheWeek 

#FinancialWellbeing","Mutual fund <a href=""/search?f=tweets&amp;q=%23ENBDRiddleOfTheWeek"">#ENBDRiddleOfTheWeek</a> 

<a href=""/search?f=tweets&amp;q=%23FinancialWellbeing"">#FinancialWellbeing</a>",False,,['EmiratesNBD_AE'],12h,"Mar 26, 2026 · 3:23 PM UTC",2026-03-26T15:23:00Z,,"['https://x.com/search?f=tweets&q=%23ENBDRiddleOfTheWeek', 'https://x.com/search?f=tweets&q=%23FinancialWellbeing']",0,0,0,9,ENBD,"Mutual fund #ENBDRiddleOfTheWeek 

#FinancialWellbeing",https://x.com/khushbuag88/status/2037188660789973451,"@EmiratesNBD_AE Mutual fund #ENBDRiddleOfTheWeek 

#FinancialWellbeing","@EmiratesNBD_AE Mutual fund #ENBDRiddleOfTheWeek 

#FinancialWellbeing",Mutual fund #ENBDRiddleOfTheWeek,Cust,Neutral
2037184663228473456,https://x.com/maharsha_37/status/2037184663228473456,https://x.com/maharsha_37,maharsha_37,mahesh patidar,https://pbs.twimg.com/profile_images/1763242358601043968/vC4TbYcN_bigger.jpg,,"@EmiratesNBD_AE Stay away from this bank. My card details were compromised and used for fraud on Amazon KSA. I reported it within 2 minutes, but the case was closed without refund. It’s been 2 months with no response. Extremely poor service, no accountability,. Case number: 232674141616","Stay away from this bank. My card details were compromised and used for fraud on Amazon KSA. I reported it within 2 minutes, but the case was closed without refund. It’s been 2 months with no response. Extremely poor service, no accountability,. Case number: 232674141616",False,,['EmiratesNBD_AE'],12h,"Mar 26, 2026 · 3:07 PM UTC",2026-03-26T15:07:00Z,,,1,0,0,25,ENBD,"Stay away from this bank. My card details were compromised and used for fraud on Amazon KSA. I reported it within 2 minutes, but the case was closed without refund. It’s been 2 months with no response. Extremely poor service, no accountability,. Case number: 232674141616",https://x.com/maharsha_37/status/2037184663228473456,"@EmiratesNBD_AE Stay away from this bank. My card details were compromised and used for fraud on Amazon KSA. I reported it within 2 minutes, but the case was closed without refund. It’s been 2 months with no response. Extremely poor service, no accountability,. Case number: 232674141616","@EmiratesNBD_AE Stay away from this bank. My card details were compromised and used for fraud on Amazon KSA. I reported it within 2 minutes, but the case was closed without refund. It’s been 2 months with no response. Extremely poor service, no accountability,. Case number: 232674141616","Stay away from this bank. My card details were compromised and used for fraud on Amazon KSA. I reported it within 2 minutes, but the case was closed without a refund. It’s been 2 months with no response. Extremely poor service, no accountability. Case number: 232674141616",Cust,Negative
2037178056108839321,https://x.com/semeet/status/2037178056108839321,https://x.com/semeet,semeet,seema shelat,https://pbs.twimg.com/profile_images/1376978771538898945/X-iaSTLK_bigger.jpg,,"@EmiratesNBD_AE A mutual fund or investment fund

#ENBDRiddleOfTheWeek

#FinancialWellbeing

#InvestSmart

#MoneyBasics","A mutual fund or investment fund

<a href=""/search?f=tweets&amp;q=%23ENBDRiddleOfTheWeek"">#ENBDRiddleOfTheWeek</a>

<a href=""/search?f=tweets&amp;q=%23FinancialWellbeing"">#FinancialWellbeing</a>

<a href=""/search?f=tweets&amp;q=%23InvestSmart"">#InvestSmart</a>

<a href=""/search?f=tweets&amp;q=%23MoneyBasics"">#MoneyBasics</a>",False,,['EmiratesNBD_AE'],13h,"Mar 26, 2026 · 2:41 PM UTC",2026-03-26T14:41:00Z,,"['https://x.com/search?f=tweets&q=%23ENBDRiddleOfTheWeek', 'https://x.com/search?f=tweets&q=%23FinancialWellbeing', 'https://x.com/search?f=tweets&q=%23InvestSmart', 'https://x.com/search?f=tweets&q=%23MoneyBasics']",0,0,0,2,ENBD,"A mutual fund or investment fund

#ENBDRiddleOfTheWeek

#FinancialWellbeing

#InvestSmart

#MoneyBasics",https://x.com/semeet/status/2037178056108839321,"@EmiratesNBD_AE A mutual fund or investment fund

#ENBDRiddleOfTheWeek

#FinancialWellbeing

#InvestSmart

#MoneyBasics","@EmiratesNBD_AE A mutual fund or investment fund

#ENBDRiddleOfTheWeek

#FinancialWellbeing

#InvestSmart

#MoneyBasics",A mutual fund or investment fund,Cust,Neutral
2037177932859204023,https://x.com/semeet/status/2037177932859204023,https://x.com/semeet,semeet,seema shelat,https://pbs.twimg.com/profile_images/1376978771538898945/X-iaSTLK_bigger.jpg,,"@EmiratesNBD_AE A mutual fund or investment fund
Emirates NBD بنك الإمارات دبي الوطني

#ENBDRiddleOfTheWeek

#FinancialWellbeing

#InvestSmart

#MoneyBasics","A mutual fund or investment fund
Emirates NBD بنك الإمارات دبي الوطني

<a href=""/search?f=tweets&amp;q=%23ENBDRiddleOfTheWeek"">#ENBDRiddleOfTheWeek</a>

<a href=""/search?f=tweets&amp;q=%23FinancialWellbeing"">#FinancialWellbeing</a>

<a href=""/search?f=tweets&amp;q=%23InvestSmart"">#InvestSmart</a>

<a href=""/search?f=tweets&amp;q=%23MoneyBasics"">#MoneyBasics</a>",False,,['EmiratesNBD_AE'],13h,"Mar 26, 2026 · 2:40 PM UTC",2026-03-26T14:40:00Z,,"['https://x.com/search?f=tweets&q=%23ENBDRiddleOfTheWeek', 'https://x.com/search?f=tweets&q=%23FinancialWellbeing', 'https://x.com/search?f=tweets&q=%23InvestSmart', 'https://x.com/search?f=tweets&q=%23MoneyBasics']",0,0,0,4,ENBD,"A mutual fund or investment fund
Emirates NBD بنك الإمارات دبي الوطني

#ENBDRiddleOfTheWeek

#FinancialWellbeing

#InvestSmart

#MoneyBasics",https://x.com/semeet/status/2037177932859204023,"@EmiratesNBD_AE A mutual fund or investment fund
Emirates NBD بنك الإمارات دبي الوطني

#ENBDRiddleOfTheWeek

#FinancialWellbeing

#InvestSmart

#MoneyBasics","@EmiratesNBD_AE A mutual fund or investment fund
Emirates NBD بنك الإمارات دبي الوطني

#ENBDRiddleOfTheWeek

#FinancialWellbeing

#InvestSmart

#MoneyBasics",A mutual fund or investment fund Emirates NBD National Bank of Dubai,Cust,Neutral
2037152117019074621,https://x.com/metooomer/status/2037152117019074621,https://x.com/metooomer,metooomer,Mutasim,https://pbs.twimg.com/profile_images/1899186218690379776/Fu95zTWB_bigger.jpg,,"Solve the riddle. Win AED 10,000. 💰
Um Allawi has had enough of car trouble and is ready for a brand new ride with Emirates NBD’s fast auto loan, thanks to a quick and easy online application. 

Follow @EmiratesNBD_ae
Tag 3 friends
Solve the riddle for a chance to win AED 10,000.","1.89% سنوياً

<a href=""/intisar_ma"" title=""إنتصار #بالعربي"">@intisar_ma</a> 

<a href=""/um_maazz"" title=""um_maaz"">@um_maazz</a> 

<a href=""/Om__saad_"" title=""om_saad"">@Om__saad_</a>",False,,['EmiratesNBD_AE'],15h,"Mar 26, 2026 · 12:58 PM UTC",2026-03-26T12:58:00Z,,"['https://x.com/intisar_ma', 'https://x.com/um_maazz', 'https://x.com/Om__saad_']",0,0,0,1,ENBD,"1.89% سنوياً

@intisar_ma 

@um_maazz 

@Om__saad_",https://x.com/metooomer/status/2037152117019074621,"Solve the riddle. Win AED 10,000. 💰
Um Allawi has had enough of car trouble and is ready for a brand new ride with Emirates NBD’s fast auto loan, thanks to a quick and easy online application. 

Follow @EmiratesNBD_ae
Tag 3 friends
Solve the riddle for a chance to win AED 10,000.","Solve the riddle. Win AED 10,000. 💰
Um Allawi has had enough of car trouble and is ready for a brand new ride with Emirates NBD’s fast auto loan, thanks to a quick and easy online application. 

Follow @EmiratesNBD_ae
Tag 3 friends
Solve the riddle for a chance to win AED 10,000.","Solve the riddle. Win AED 10,000. 💰 Um Allawi has had enough of car trouble and is ready for a brand new ride with Emirates NBD’s fast auto loan, thanks to a quick and easy online application. Follow @EmiratesNBD_ae Tag 3 friends Solve the riddle for a chance to win AED 10,000.",Cust,Positive
2037151840035561797,https://x.com/metooomer/status/2037151840035561797,https://x.com/metooomer,metooomer,Mutasim,https://pbs.twimg.com/profile_images/1899186218690379776/Fu95zTWB_bigger.jpg,,"حل اللغز واربح 10,000 درهم.💰
أم علاوي تعبت من مشاكل السيارة، ومستعدة لسيارة جديدة بفضل قرض السيارات السريع من بنك الإمارات دبي الوطني، من خلال طلب سهل وسريع عبر الإنترنت.

تابع @EmiratesNBD_ae
قم بالإشارة إلى 3 من أصدقائك
حل اللغز لفرصة الفوز بـ 10 آلاف درهم. https://t.co/NBQE3PzfgZ","1.89% سنوياً

<a href=""/intisar_ma"" title=""إنتصار #بالعربي"">@intisar_ma</a> 

<a href=""/um_maazz"" title=""um_maaz"">@um_maazz</a> 

<a href=""/Fr638"" title=""Faris _m"">@Fr638</a>",False,,['EmiratesNBD_AE'],15h,"Mar 26, 2026 · 12:57 PM UTC",2026-03-26T12:57:00Z,,"['https://x.com/intisar_ma', 'https://x.com/um_maazz', 'https://x.com/Fr638']",0,0,0,1,ENBD,"1.89% سنوياً

@intisar_ma 

@um_maazz 

@Fr638",https://x.com/metooomer/status/2037151840035561797,"حل اللغز واربح 10,000 درهم.💰
أم علاوي تعبت من مشاكل السيارة، ومستعدة لسيارة جديدة بفضل قرض السيارات السريع من بنك الإمارات دبي الوطني، من خلال طلب سهل وسريع عبر الإنترنت.

تابع @EmiratesNBD_ae
قم بالإشارة إلى 3 من أصدقائك
حل اللغز لفرصة الفوز بـ 10 آلاف درهم. https://t.co/NBQE3PzfgZ","حل اللغز واربح 10,000 درهم.💰
أم علاوي تعبت من مشاكل السيارة، ومستعدة لسيارة جديدة بفضل قرض السيارات السريع من بنك الإمارات دبي الوطني، من خلال طلب سهل وسريع عبر الإنترنت.

تابع @EmiratesNBD_ae
قم بالإشارة إلى 3 من أصدقائك
حل اللغز لفرصة الفوز بـ 10 آلاف درهم. https://t.co/NBQE3PzfgZ","Solve the puzzle and win 10,000 dirhams.💰 Um Alawi is tired of car problems and is ready for a new car thanks to the quick car loan from Emirates NBD, through an easy and fast online application. 

Follow @EmiratesNBD_ae 
Tag 3 of your friends 
Solve the puzzle for a chance to win 10,000 dirhams. https://t.co/NBQE3PzfgZ",Cust,Positive
2037151306373337310,https://x.com/metooomer/status/2037151306373337310,https://x.com/metooomer,metooomer,Mutasim,https://pbs.twimg.com/profile_images/1899186218690379776/Fu95zTWB_bigger.jpg,,"حلّ فزورة رمضان واربح 10,000 درهم.

من توزيع الوجبات، إلى دعم العاملين وقضاء الوقت مع كبار المواطنين، يجمع برنامج واحد كل ذلك تحت مظلًة واحدة.

ما اسم هذا البرنامج؟

للمشاركة:
1.تابع حساب بنك الإمارات دبي الوطني
2.قم بالإشارة إلى 3 من أصدقائك
3.اكتب إجابتك في التعليقات أدناه https://t.co/aADoQF5a2E","Exchanger Volunteering Program 

<a href=""/intisar_ma"" title=""إنتصار #بالعربي"">@intisar_ma</a> 

<a href=""/um_maazz"" title=""um_maaz"">@um_maazz</a> 

<a href=""/Fr638"" title=""Faris _m"">@Fr638</a>",False,,['EmiratesNBD_AE'],15h,"Mar 26, 2026 · 12:54 PM UTC",2026-03-26T12:54:00Z,,"['https://x.com/intisar_ma', 'https://x.com/um_maazz', 'https://x.com/Fr638']",0,0,0,1,ENBD,"Exchanger Volunteering Program 

@intisar_ma 

@um_maazz 

@Fr638",https://x.com/metooomer/status/2037151306373337310,"حلّ فزورة رمضان واربح 10,000 درهم.

من توزيع الوجبات، إلى دعم العاملين وقضاء الوقت مع كبار المواطنين، يجمع برنامج واحد كل ذلك تحت مظلًة واحدة.

ما اسم هذا البرنامج؟

للمشاركة:
1.تابع حساب بنك الإمارات دبي الوطني
2.قم بالإشارة إلى 3 من أصدقائك
3.اكتب إجابتك في التعليقات أدناه https://t.co/aADoQF5a2E","حلّ فزورة رمضان واربح 10,000 درهم.

من توزيع الوجبات، إلى دعم العاملين وقضاء الوقت مع كبار المواطنين، يجمع برنامج واحد كل ذلك تحت مظلًة واحدة.

ما اسم هذا البرنامج؟

للمشاركة:
1.تابع حساب بنك الإمارات دبي الوطني
2.قم بالإشارة إلى 3 من أصدقائك
3.اكتب إجابتك في التعليقات أدناه https://t.co/aADoQF5a2E","Solve the Ramadan riddle and win 10,000 dirhams.

From meal distribution to supporting workers and spending time with senior citizens, one program brings all of that under one umbrella.

What is the name of this program?

To participate:
1. Follow the Emirates NBD account
2. Tag 3 of your friends
3. Write your answer in the comments below.",Cust,Neutral
