id,permalink,userUrl,username,fullname,avatar,verified,text,html,isRetweet,retweetedBy,replyingTo,relativeTime,displayTime,createdAt,images,links,comments,retweets,likes,Views,bank_ext,text_1,postUrl,replyText,text_v1
2039600624669454762,https://x.com/rebekahpierce/status/2039600624669454762,https://x.com/rebekahpierce,rebekahpierce,تيكيت ماستر,https://pbs.twimg.com/profile_images/1966481551916417024/GEq1e0sW_bigger.jpg,,@RotanaLive @RabehSaqer @JEDCalendar @EmiratesNBD_KSA خليكم جاهزين نوفر لكم تذاكر,خليكم جاهزين نوفر لكم تذاكر,False,,"['RotanaLive', 'RabehSaqer', 'JEDCalendar', 'EmiratesNBD_KSA']",5m,"Apr 2, 2026 · 7:07 AM UTC",2026-04-02T07:07:00Z,,,0,0,0,12,ENBD,خليكم جاهزين نوفر لكم تذاكر,https://x.com/rebekahpierce/status/2039600624669454762,@RotanaLive @RabehSaqer @JEDCalendar @EmiratesNBD_KSA خليكم جاهزين نوفر لكم تذاكر,@RotanaLive @RabehSaqer @JEDCalendar @EmiratesNBD_KSA خليكم جاهزين نوفر لكم تذاكر
2039600614510874770,https://x.com/ervpi/status/2039600614510874770,https://x.com/ervpi,ervpi,Omar,https://pbs.twimg.com/profile_images/1884387954627371008/nxA9VZUL_bigger.jpg,,"فعلوا التنبيهات🔔

باقي ٦ ساعات على طرح تذاكر حفل صقر الأغنية الخليجية #رابح_صقر 🦅❤️‍🔥 

🗓️ 10 أبريل 2026 
📍جدة - مسرح عبادي الجوهر أرينا

🎫
https://t.co/pb3Iz5fHAz

#رابح_صقر_في_جدة 
#موسم_جدة 
#روتانا_لايف

@RabehSaqer 
@JEDCalendar 
@EmiratesNBD_KSA https://t.co/opLz1T6aNm",ابي تذكره وحده امنيتي احضر حفله له😞,False,,"['RotanaLive', 'RabehSaqer', 'JEDCalendar', 'EmiratesNBD_KSA']",5m,"Apr 2, 2026 · 7:07 AM UTC",2026-04-02T07:07:00Z,,,0,0,0,13,ENBD,ابي تذكره وحده امنيتي احضر حفله له😞,https://x.com/ervpi/status/2039600614510874770,"فعلوا التنبيهات🔔

باقي ٦ ساعات على طرح تذاكر حفل صقر الأغنية الخليجية #رابح_صقر 🦅❤️‍🔥 

🗓️ 10 أبريل 2026 
📍جدة - مسرح عبادي الجوهر أرينا

🎫
https://t.co/pb3Iz5fHAz

#رابح_صقر_في_جدة 
#موسم_جدة 
#روتانا_لايف

@RabehSaqer 
@JEDCalendar 
@EmiratesNBD_KSA https://t.co/opLz1T6aNm","فعلوا التنبيهات🔔

باقي ٦ ساعات على طرح تذاكر حفل صقر الأغنية الخليجية #رابح_صقر 🦅❤️‍🔥 

🗓️ 10 أبريل 2026 
📍جدة - مسرح عبادي الجوهر أرينا

🎫
https://t.co/pb3Iz5fHAz

#رابح_صقر_في_جدة 
#موسم_جدة 
#روتانا_لايف

@RabehSaqer 
@JEDCalendar 
@EmiratesNBD_KSA https://t.co/opLz1T6aNm"
2039598647151899084,https://x.com/MoniifyBusiness/status/2039598647151899084,https://x.com/MoniifyBusiness,MoniifyBusiness,MONIIFY,https://pbs.twimg.com/profile_images/1854764908602138624/Hg72bRty_bigger.jpg,,"So-called ""quantum-resistant"" cryptos are surging on Google's fresh warning on Bitcoin.

$CELL and $ABEL went up as much as 88% and 27%, respectively. Crypto segment leaders $ZEC and $STRK, meanwhile, saw 4%-8% gains.

According to some experts, quantum concerns may have already contributed to the huge $BTC drop in 2025, particularly when it decoupled from rising equities in the second half of last year.

The quantum-resistant crypto segment rose by 11%, and is now a $4.8B market.

The threat is still years away, but the market sure isn't waiting.

#Crypto #Bitcoin #QuantumComputing #CryptoNews","Emirates NBD just raised more than $2B from global investors amid the ongoing Iran war.

The money will go toward lending and business expansion, the bank said, adding that the deal strengthens its dollar-funding position.

No immediate impact on customers, but it does show the bank has more cash to lend out. That means more credit available in the UAE economy over time.

ENBD stock may have dropped 27% from its February peak, but it appears big investors aren&#39;t sharing that panic.

<a href=""/search?f=tweets&amp;q=%23UAE"">#UAE</a> <a href=""/search?f=tweets&amp;q=%23EmiratesNBD"">#EmiratesNBD</a> <a href=""/search?f=tweets&amp;q=%23ENBD"">#ENBD</a> <a href=""/search?f=tweets&amp;q=%23Banking"">#Banking</a> <a href=""/search?f=tweets&amp;q=%23MENA"">#MENA</a>",False,,,13m,"Apr 2, 2026 · 6:59 AM UTC",2026-04-02T06:59:00Z,,"['https://x.com/search?f=tweets&q=%23UAE', 'https://x.com/search?f=tweets&q=%23EmiratesNBD', 'https://x.com/search?f=tweets&q=%23ENBD', 'https://x.com/search?f=tweets&q=%23Banking', 'https://x.com/search?f=tweets&q=%23MENA']",0,0,0,25,ENBD,"Emirates NBD just raised more than $2B from global investors amid the ongoing Iran war.

The money will go toward lending and business expansion, the bank said, adding that the deal strengthens its dollar-funding position.

No immediate impact on customers, but it does show the bank has more cash to lend out. That means more credit available in the UAE economy over time.

ENBD stock may have dropped 27% from its February peak, but it appears big investors aren't sharing that panic.

#UAE #EmiratesNBD #ENBD #Banking #MENA",https://x.com/MoniifyBusiness/status/2039598647151899084,"So-called ""quantum-resistant"" cryptos are surging on Google's fresh warning on Bitcoin.

$CELL and $ABEL went up as much as 88% and 27%, respectively. Crypto segment leaders $ZEC and $STRK, meanwhile, saw 4%-8% gains.

According to some experts, quantum concerns may have already contributed to the huge $BTC drop in 2025, particularly when it decoupled from rising equities in the second half of last year.

The quantum-resistant crypto segment rose by 11%, and is now a $4.8B market.

The threat is still years away, but the market sure isn't waiting.

#Crypto #Bitcoin #QuantumComputing #CryptoNews","So-called ""quantum-resistant"" cryptos are surging on Google's fresh warning on Bitcoin.

$CELL and $ABEL went up as much as 88% and 27%, respectively. Crypto segment leaders $ZEC and $STRK, meanwhile, saw 4%-8% gains.

According to some experts, quantum concerns may have already contributed to the huge $BTC drop in 2025, particularly when it decoupled from rising equities in the second half of last year.

The quantum-resistant crypto segment rose by 11%, and is now a $4.8B market.

The threat is still years away, but the market sure isn't waiting.

#Crypto #Bitcoin #QuantumComputing #CryptoNews"
2039598589089821093,https://x.com/0_ab1172/status/2039598589089821093,https://x.com/0_ab1172,0_ab1172,Abdulrahman,https://pbs.twimg.com/profile_images/1951463642324467712/XQYKCCfL_bigger.jpg,,@EmiratesNBD_KSA الرجاء السرعه في انهي المشكله,الرجاء السرعه في انهي المشكله,False,,['EmiratesNBD_KSA'],13m,"Apr 2, 2026 · 6:59 AM UTC",2026-04-02T06:59:00Z,,,1,0,0,6,ENBD,الرجاء السرعه في انهي المشكله,https://x.com/0_ab1172/status/2039598589089821093,@EmiratesNBD_KSA الرجاء السرعه في انهي المشكله,@EmiratesNBD_KSA الرجاء السرعه في انهي المشكله
2039598531523084734,https://x.com/0_ab1172/status/2039598531523084734,https://x.com/0_ab1172,0_ab1172,Abdulrahman,https://pbs.twimg.com/profile_images/1951463642324467712/XQYKCCfL_bigger.jpg,,"@EmiratesNBD_KSA 

سلام عليكم ورحمة الله وبركاته 

اقول بتحويل بملغ لبنك محلي ولا توصل ؟",تم ارسال المشكله بالخاص,False,,['EmiratesNBD_KSA'],13m,"Apr 2, 2026 · 6:59 AM UTC",2026-04-02T06:59:00Z,,,0,0,0,6,ENBD,تم ارسال المشكله بالخاص,https://x.com/0_ab1172/status/2039598531523084734,"@EmiratesNBD_KSA 

سلام عليكم ورحمة الله وبركاته 

اقول بتحويل بملغ لبنك محلي ولا توصل ؟","@EmiratesNBD_KSA 

سلام عليكم ورحمة الله وبركاته 

اقول بتحويل بملغ لبنك محلي ولا توصل ؟"
2039598436035772568,https://x.com/MultibaggAI/status/2039598436035772568,https://x.com/MultibaggAI,MultibaggAI,multibagg.ai,https://pbs.twimg.com/profile_images/2017665342756294656/o62zwaRv_bigger.jpg,,"ON THURSDAY RBI APPROVED EMIRATES NBD BANK'S PROPOSED ACQUISITION OF MAJORITY SHAREHOLDING IN RBL BANK LTD, CLEARING THE DEAL TO PROCEED.","ON THURSDAY RBI APPROVED EMIRATES NBD BANK&#39;S PROPOSED ACQUISITION OF MAJORITY SHAREHOLDING IN RBL BANK LTD, CLEARING THE DEAL TO PROCEED.",False,,,14m,"Apr 2, 2026 · 6:58 AM UTC",2026-04-02T06:58:00Z,,,0,0,0,21,ENBD,"ON THURSDAY RBI APPROVED EMIRATES NBD BANK'S PROPOSED ACQUISITION OF MAJORITY SHAREHOLDING IN RBL BANK LTD, CLEARING THE DEAL TO PROCEED.",https://x.com/MultibaggAI/status/2039598436035772568,"ON THURSDAY RBI APPROVED EMIRATES NBD BANK'S PROPOSED ACQUISITION OF MAJORITY SHAREHOLDING IN RBL BANK LTD, CLEARING THE DEAL TO PROCEED.","ON THURSDAY RBI APPROVED EMIRATES NBD BANK'S PROPOSED ACQUISITION OF MAJORITY SHAREHOLDING IN RBL BANK LTD, CLEARING THE DEAL TO PROCEED."
2039597895326876118,https://x.com/19801Aziz/status/2039597895326876118,https://x.com/19801Aziz,19801Aziz,عبدالعزيز السليمان العنقري,https://pbs.twimg.com/profile_images/1403770111341760512/vMF1-7gv_bigger.jpg,,@EmiratesNBD_AE كم نسبة تمويل البناء الذاتي,"<a href=""/EmiratesNBD_AE"" title=""Emirates NBD"">@EmiratesNBD_AE</a> كم نسبة تمويل البناء الذاتي",False,,,16m,"Apr 2, 2026 · 6:56 AM UTC",2026-04-02T06:56:00Z,,['https://x.com/EmiratesNBD_AE'],1,0,0,6,ENBD,@EmiratesNBD_AE كم نسبة تمويل البناء الذاتي,https://x.com/19801Aziz/status/2039597895326876118,@EmiratesNBD_AE كم نسبة تمويل البناء الذاتي,@EmiratesNBD_AE كم نسبة تمويل البناء الذاتي
2039597060589068572,https://x.com/0_ab1172/status/2039597060589068572,https://x.com/0_ab1172,0_ab1172,Abdulrahman,https://pbs.twimg.com/profile_images/1951463642324467712/XQYKCCfL_bigger.jpg,,الي متي الوضع كذا يومين,الي متي الوضع كذا يومين,False,,['EmiratesNBD_KSA'],19m,"Apr 2, 2026 · 6:53 AM UTC",2026-04-02T06:53:00Z,,,1,0,0,9,ENBD,الي متي الوضع كذا يومين,,,الي متي الوضع كذا يومين
2039591112806195649,https://x.com/SelmaRomola/status/2039591112806195649,https://x.com/SelmaRomola,SelmaRomola,Selma Romola,https://pbs.twimg.com/profile_images/1118152018995105792/5fyZOTth_bigger.jpg,,"رقم واحد قد يفتح الأبواب — أو يغلقها.
هل تعرف ما هو؟ شاركنا إجابتك في التعليقات.
#لغز_الأسبوع_ENBD #الائتمان_بذكاء #العافية_المالية https://t.co/Kpx6UVJnO5",Credit score,False,,['EmiratesNBD_AE'],43m,"Apr 2, 2026 · 6:29 AM UTC",2026-04-02T06:29:00Z,,,0,0,0,0,ENBD,Credit score,https://x.com/SelmaRomola/status/2039591112806195649,"رقم واحد قد يفتح الأبواب — أو يغلقها.
هل تعرف ما هو؟ شاركنا إجابتك في التعليقات.
#لغز_الأسبوع_ENBD #الائتمان_بذكاء #العافية_المالية https://t.co/Kpx6UVJnO5","رقم واحد قد يفتح الأبواب — أو يغلقها.
هل تعرف ما هو؟ شاركنا إجابتك في التعليقات.
#لغز_الأسبوع_ENBD #الائتمان_بذكاء #العافية_المالية https://t.co/Kpx6UVJnO5"
2039578380069425490,https://x.com/setusavla/status/2039578380069425490,https://x.com/setusavla,setusavla,Setu,https://pbs.twimg.com/profile_images/1987030968176418819/pKMg0F4G_bigger.jpg,,"DEFENCE MINISTRY

FY26 defence exports rise 62.7% YoY to ₹38,424 cr

DPSUs contribute 54.84%, private sector 45.16%

DPSU exports surge 151%, private sector up 14%

Private sector exports at 17,353 cr

DPSU exports at ₹21,071 cr","RBL BANK-EMIRATES NBD DEAL GETS RBI NOD

SOURCES SAY

RBI GIVES ITS APPROVAL FOR THE RBL BANK-EMIRATES NBD DEAL

RBI Approval For RBL-Emirates NBD Deal Came Through Last Night

RBL Bank Board To Convene Meeting Today &amp; Make Disclosure Post That

Alert: CNBC-TV18 Has Reached Out To RBL Bank For A Comment, Response Awaited

Alert: Emirates NBD Bank Is Looking To Acquire 60% Stake In RBL Bank For 26,850 Cr

Alert: Deal Was Announced In Oct 2025, To Be Done Via Preferential Equity At A Price Of 280/Sh",False,,,1h,"Apr 2, 2026 · 5:39 AM UTC",2026-04-02T05:39:00Z,,,0,1,1,71,ENBD,"RBL BANK-EMIRATES NBD DEAL GETS RBI NOD

SOURCES SAY

RBI GIVES ITS APPROVAL FOR THE RBL BANK-EMIRATES NBD DEAL

RBI Approval For RBL-Emirates NBD Deal Came Through Last Night

RBL Bank Board To Convene Meeting Today & Make Disclosure Post That

Alert: CNBC-TV18 Has Reached Out To RBL Bank For A Comment, Response Awaited

Alert: Emirates NBD Bank Is Looking To Acquire 60% Stake In RBL Bank For 26,850 Cr

Alert: Deal Was Announced In Oct 2025, To Be Done Via Preferential Equity At A Price Of 280/Sh",https://x.com/setusavla/status/2039578380069425490,"DEFENCE MINISTRY

FY26 defence exports rise 62.7% YoY to ₹38,424 cr

DPSUs contribute 54.84%, private sector 45.16%

DPSU exports surge 151%, private sector up 14%

Private sector exports at 17,353 cr

DPSU exports at ₹21,071 cr","DEFENCE MINISTRY

FY26 defence exports rise 62.7% YoY to ₹38,424 cr

DPSUs contribute 54.84%, private sector 45.16%

DPSU exports surge 151%, private sector up 14%

Private sector exports at 17,353 cr

DPSU exports at ₹21,071 cr"
